Employment,EdLevel,YearsCode,YearsCodePro,OrgSize,Country,Gender,WorkExp,RemoteWork,Compensation_usd
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,7,100 to 499 employees,United States of America,Man,NA,Fully remote,141000
"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,27,20,10 to 19 employees,United States of America,Man,22,Fully remote,70000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,17,100 to 499 employees,United States of America,Prefer not to say,16,Fully remote,NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17,8,"5,000 to 9,999 employees",United States of America,Man,8,Fully remote,230000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,1,20 to 99 employees,United States of America,Man,4,Fully remote,80000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,2,500 to 999 employees,Germany,Man,2,"Hybrid (some remote, some in-person)",61857.36
"Employed, full-time",Some college/university study without earning a degree,20,20,100 to 499 employees,United States of America,Man,20,Fully remote,150000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",37,30,"5,000 to 9,999 employees",United States of America,Man,NA,"Hybrid (some remote, some in-person)",320000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,3,"1,000 to 4,999 employees",United States of America,Man,3,"Hybrid (some remote, some in-person)",127000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35,22,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",211750
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,2,10 to 19 employees,Germany,Man,2,Fully remote,68900
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,11,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,11,Fully remote,72600
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,3,I don’t know,United States of America,Man,2,Fully remote,121000
"Employed, full-time","Associate degree (A.A., A.S., etc.)",5,4,"10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,Man,5,"Hybrid (some remote, some in-person)",54450
"Employed, full-time",Some college/university study without earning a degree,24,21,2 to 9 employees,Germany,Man,NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22,20,500 to 999 employees,United States of America,Man,22,Fully remote,NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,5,100 to 499 employees,Germany,Man,NA,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17,14,"5,000 to 9,999 employees",Germany,Man,NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,3,20 to 99 employees,Germany,Man,NA,"Hybrid (some remote, some in-person)",53000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,10,20 to 99 employees,United States of America,Man,12,"Hybrid (some remote, some in-person)",155000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,3,"10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",41140
"Employed, full-time",Primary/elementary school,13,5,"5,000 to 9,999 employees",United States of America,Man,5,Fully remote,NA
"Independent contractor, freelancer, or self-employed","Other doctoral degree (Ph.D., Ed.D., etc.)",28,13,"Just me - I am a freelancer, sole proprietor, etc.",United States of America,Man,NA,Fully remote,140000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,8,"1,000 to 4,999 employees",United Kingdom of Great Britain and Northern Ireland,Man,8,"Hybrid (some remote, some in-person)",72600
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,6,100 to 499 employees,United States of America,Man,11,"Hybrid (some remote, some in-person)",112000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,10,"1,000 to 4,999 employees",United States of America,Man,NA,Fully remote,120000
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",5,3,100 to 499 employees,Germany,Man,10,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,4,"10,000 or more employees",United States of America,Man,6,Fully remote,172000
"Employed, full-time",Some college/university study without earning a degree,36,36,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,33,Fully remote,NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,8,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,8,"Hybrid (some remote, some in-person)",46585
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,12,20 to 99 employees,United States of America,Man,12,Fully remote,150000
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,21,20 to 99 employees,United States of America,"Man;Or, in your own words:",NA,Fully remote,NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,3,"1,000 to 4,999 employees",United States of America,Man,NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,4,"1,000 to 4,999 employees",United States of America,Man,4,Fully remote,190000
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",35,32,"10,000 or more employees",United States of America,Man,NA,"Hybrid (some remote, some in-person)",120000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,10,"10,000 or more employees",United States of America,Man,10,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",31,31,100 to 499 employees,United States of America,Man,36,Fully remote,200000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",26,23,100 to 499 employees,United States of America,Man,23,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,4,20 to 99 employees,United States of America,Man,NA,"Hybrid (some remote, some in-person)",280000
"Independent contractor, freelancer, or self-employed","Other doctoral degree (Ph.D., Ed.D., etc.)",14,6,"Just me - I am a freelancer, sole proprietor, etc.",United States of America,Man,NA,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,4,"10,000 or more employees",United States of America,Man,4,Fully remote,86500
"Employed, full-time",Some college/university study without earning a degree,10,8,"10,000 or more employees",Germany,Man,NA,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,3,500 to 999 employees,United States of America,Man,4,"Hybrid (some remote, some in-person)",150000
"Employed, full-time","Associate degree (A.A., A.S., etc.)",30,15,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,Fully remote,139150
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,10,"1,000 to 4,999 employees",United States of America,Man,20,Fully remote,93000
"Employed, full-time;Independent contractor, freelancer, or self-employed",Primary/elementary school,23,20,"10,000 or more employees",United States of America,Man,NA,Fully remote,190000
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",10,4,10 to 19 employees,United States of America,Man,NA,"Hybrid (some remote, some in-person)",35000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,5,10 to 19 employees,United States of America,Man,5,"Hybrid (some remote, some in-person)",85000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",31,21,"5,000 to 9,999 employees",United States of America,Man,26,Fully remote,828000
"Employed, full-time",Some college/university study without earning a degree,15,12,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,12,Fully remote,108900
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,5,100 to 499 employees,United States of America,Man,NA,Fully remote,200000
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",45,15,100 to 499 employees,United States of America,Man,NA,Fully remote,180000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,15,"10,000 or more employees",United States of America,Man,15,Fully remote,450000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,11,100 to 499 employees,United States of America,Man,11,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,2,20 to 99 employees,United States of America,Man,2,Fully remote,65000
"Employed, full-time","Professional degree (JD, MD, etc.)",16,14,"1,000 to 4,999 employees",United States of America,Man,15,Fully remote,155000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,10,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",121000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,7,"1,000 to 4,999 employees",United States of America,Man,7,Fully remote,140000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27,18,500 to 999 employees,United States of America,Man,NA,Fully remote,200000
"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,18,17,"Just me - I am a freelancer, sole proprietor, etc.",Germany,Man,NA,Fully remote,13780
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,12,"10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Associate degree (A.A., A.S., etc.)",9,8,500 to 999 employees,United States of America,"Non-binary, genderqueer, or gender non-conforming",8,Fully remote,152000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,10,"10,000 or more employees",United States of America,Man,10,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,14,2 to 9 employees,United States of America,Man,NA,"Hybrid (some remote, some in-person)",122000
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",48,40,"Just me - I am a freelancer, sole proprietor, etc.",United States of America,Man,NA,Fully remote,225000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22,12,"10,000 or more employees",Germany,Man,NA,Fully remote,67840
"Employed, full-time",Some college/university study without earning a degree,4,4,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,NA,NA,Fully remote,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,10,"10,000 or more employees",United States of America,Woman,3,"Hybrid (some remote, some in-person)",81000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30,15,2 to 9 employees,Germany,Man,15,"Hybrid (some remote, some in-person)",NA
"Employed, full-time",Some college/university study without earning a degree,20,15,20 to 99 employees,United States of America,Man,15,Fully remote,105000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,1,"10,000 or more employees",United States of America,Man,1,"Hybrid (some remote, some in-person)",120000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40,25,"1,000 to 4,999 employees",United Kingdom of Great Britain and Northern Ireland,Man,25,Fully remote,NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,11,500 to 999 employees,Germany,Man,15,Fully remote,72080
"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30,11,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,Fully remote,786500
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,10,100 to 499 employees,United States of America,Man,NA,Fully remote,NA
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,3,"Just me - I am a freelancer, sole proprietor, etc.",United States of America,Man,NA,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,8,500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,Man,8,Fully remote,72600
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",14,10,20 to 99 employees,United States of America,Man,10,Fully remote,140000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,3,"1,000 to 4,999 employees",Germany,Man,NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,5,100 to 499 employees,United States of America,Woman,NA,Fully remote,126000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,NA,20 to 99 employees,United States of America,Woman,0,Fully remote,120000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16,12,I don’t know,United States of America,Man,12,"Hybrid (some remote, some in-person)",131100
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35,25,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,25,Fully remote,60500
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,15,"Just me - I am a freelancer, sole proprietor, etc.",United Kingdom of Great Britain and Northern Ireland,Man,NA,Fully remote,72600
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",17,6,"10,000 or more employees",United States of America,Man,NA,"Hybrid (some remote, some in-person)",54144
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,7,2 to 9 employees,Germany,Man,9,"Hybrid (some remote, some in-person)",4770
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",42,32,10 to 19 employees,United Kingdom of Great Britain and Northern Ireland,Man,42,Fully remote,90750
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,15,20 to 99 employees,Germany,Man,15,"Hybrid (some remote, some in-person)",4240
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,2,10 to 19 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",42350
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13,11,20 to 99 employees,United States of America,Man,11,Fully remote,280000
"Employed, full-time","Associate degree (A.A., A.S., etc.)",40,26,"10,000 or more employees",United States of America,Man,26,Fully remote,150000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,2,500 to 999 employees,United Kingdom of Great Britain and Northern Ireland,Woman,NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,2,100 to 499 employees,United States of America,"Non-binary, genderqueer, or gender non-conforming",10,Fully remote,96000
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3,2,100 to 499 employees,Germany,Man,2,"Hybrid (some remote, some in-person)",1060
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24,24,20 to 99 employees,United States of America,Man,NA,Fully remote,145000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9,5,10 to 19 employees,United Kingdom of Great Britain and Northern Ireland,Man,5,"Hybrid (some remote, some in-person)",114950
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,11,100 to 499 employees,United States of America,Man,11,Fully remote,180000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",NA,15,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Man,16,Fully remote,92565
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,7,"5,000 to 9,999 employees",United States of America,Man,7,Fully remote,210000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40,30,100 to 499 employees,United States of America,Man,NA,Fully remote,155000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,10,100 to 499 employees,United States of America,Man,10,"Hybrid (some remote, some in-person)",148000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17,16,"1,000 to 4,999 employees",United States of America,Man,15,Fully remote,155000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,7,"5,000 to 9,999 employees",United States of America,Man,NA,Fully remote,300000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,6,100 to 499 employees,United States of America,Man,NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,5,"10,000 or more employees",United States of America,Man,NA,Fully remote,121000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,20,20 to 99 employees,United States of America,Man,20,Fully remote,300000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,4,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Man,4,"Hybrid (some remote, some in-person)",76230
"Employed, full-time",Some college/university study without earning a degree,3,2,100 to 499 employees,United States of America,Man,2,Fully remote,220000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,8,"1,000 to 4,999 employees",United States of America,Man,8,"Hybrid (some remote, some in-person)",154000
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20,10,100 to 499 employees,United States of America,Man,NA,Fully remote,175000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23,19,10 to 19 employees,United States of America,Man,19,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,10,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",NA
"Employed, full-time",Some college/university study without earning a degree,38,25,20 to 99 employees,United States of America,Man,25,Fully remote,250000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",45,42,10 to 19 employees,United States of America,Man,42,Fully remote,200000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,11,"5,000 to 9,999 employees",Germany,Man,NA,"Hybrid (some remote, some in-person)",5830
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17,9,100 to 499 employees,United States of America,Man,9,Fully remote,115000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,2,"5,000 to 9,999 employees",Germany,Man,1,"Hybrid (some remote, some in-person)",58300
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,10,20 to 99 employees,United States of America,Man,10,Fully remote,70000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,2,"10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,Man,2,Fully remote,42350
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,5,500 to 999 employees,United States of America,Man,NA,Fully remote,175000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,4,"10,000 or more employees",United States of America,Man,4,Fully remote,140500
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",10,8,100 to 499 employees,United States of America,Man,NA,Fully remote,74000
"Employed, full-time",Some college/university study without earning a degree,12,9,10 to 19 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,Fully remote,60500
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,3,100 to 499 employees,Germany,Man,4,"Hybrid (some remote, some in-person)",50350
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,3,"10,000 or more employees",United States of America,Man,10,"Hybrid (some remote, some in-person)",92000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,16,100 to 499 employees,United States of America,Man,16,Fully remote,220000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24,9,"10,000 or more employees",United States of America,Man,9,Fully remote,300000
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",18,9,"5,000 to 9,999 employees",Germany,Man,NA,"Hybrid (some remote, some in-person)",4240
"Employed, full-time",Some college/university study without earning a degree,6,6,20 to 99 employees,United States of America,Man,NA,"Hybrid (some remote, some in-person)",140000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,4,"1,000 to 4,999 employees",United States of America,Woman,8,Fully remote,160000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,7,"1,000 to 4,999 employees",United States of America,Man,7,"Hybrid (some remote, some in-person)",97000
"Employed, full-time",Some college/university study without earning a degree,3,2,100 to 499 employees,United States of America,Woman,2,Fully remote,85000
"Employed, full-time","Associate degree (A.A., A.S., etc.)",10,8,100 to 499 employees,United States of America,Man,NA,"Hybrid (some remote, some in-person)",140000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23,17,100 to 499 employees,United States of America,Man,18,"Hybrid (some remote, some in-person)",245000
"Employed, full-time","Associate degree (A.A., A.S., etc.)",11,10,2 to 9 employees,United States of America,Man,20,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,10,2 to 9 employees,United Kingdom of Great Britain and Northern Ireland,Man,15,"Hybrid (some remote, some in-person)",60500
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,3,"10,000 or more employees",United States of America,Man,3,Fully remote,95000
"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Some college/university study without earning a degree,10,3,2 to 9 employees,United Kingdom of Great Britain and Northern Ireland,Man,3,Fully remote,100146.86
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,2,"1,000 to 4,999 employees",United States of America,Man,2,"Hybrid (some remote, some in-person)",103000
"Employed, full-time",Something else,9,NA,"10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",4235
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,5,20 to 99 employees,United States of America,Man,10,"Hybrid (some remote, some in-person)",73000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",32,20,"1,000 to 4,999 employees",Germany,Man,20,Fully remote,95400
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,15,100 to 499 employees,United States of America,Man,17,Fully remote,NA
"Employed, full-time","Associate degree (A.A., A.S., etc.)",11,9,20 to 99 employees,Germany,Man,8,Fully remote,47700
"Employed, full-time",Some college/university study without earning a degree,9,2,I don’t know,United States of America,Man,NA,Fully remote,NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,6,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",102850
"Employed, full-time",Some college/university study without earning a degree,3,2,2 to 9 employees,United States of America,Man,5,Fully remote,65000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,5,2 to 9 employees,United States of America,Man,6,Fully remote,160000
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,5,10 to 19 employees,United States of America,"Non-binary, genderqueer, or gender non-conforming",5,Fully remote,3000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,10,"1,000 to 4,999 employees",United States of America,Man,11,"Hybrid (some remote, some in-person)",NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,NA,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,"Hybrid (some remote, some in-person)",33880
"Employed, full-time",Some college/university study without earning a degree,27,25,I don’t know,United States of America,Man,25,Fully remote,86000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,10,100 to 499 employees,Germany,Man,NA,Fully remote,NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,3,"10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,Man,NA,Fully remote,60500
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,16,500 to 999 employees,United States of America,Man,16,Fully remote,116000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,6,20 to 99 employees,United States of America,Man,6,"Hybrid (some remote, some in-person)",120000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22,14,"10,000 or more employees",United States of America,Man,NA,Fully remote,115200
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40,35,10 to 19 employees,United States of America,Man,NA,Fully remote,NA
"Employed, full-time",Some college/university study without earning a degree,20,19,100 to 499 employees,United States of America,"Non-binary, genderqueer, or gender non-conforming",20,Fully remote,160000
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,6,2 to 9 employees,Germany,Man,6,"Hybrid (some remote, some in-person)",42400
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,7,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Man,NA,Fully remote,57475
"Employed, full-time",Something else,36,22,"10,000 or more employees",United States of America,Man,36,Fully remote,114000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,17,20 to 99 employees,United States of America,Man,17,Fully remote,200000
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,7,I don’t know,United Kingdom of Great Britain and Northern Ireland,Man,NA,Fully remote,96800
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,2,2 to 9 employees,United States of America,Man,NA,"Hybrid (some remote, some in-person)",57000
"Employed, full-time",Some college/university study without earning a degree,10,10,100 to 499 employees,United States of America,Man,NA,Fully remote,190000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,1,10 to 19 employees,United States of America,Man,1,Fully remote,NA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,15,20 to 99 employees,United States of America,Man,15,"Hybrid (some remote, some in-person)",103000
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30,19,"10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,Man,NA,Fully remote,3421.88
"Employed, full-time","Other doctoral degree (Ph.D., Ed.D., etc.)",13,6,20 to 99 employees,United States of America,Man,11,"Hybrid (some remote, some in-person)",80000
"Employed, full-time",Some college/university study without earning a degree,40,35,"10,000 or more employees",United States of America,Man,NA,Fully remote,168000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,5,"10,000 or more employees",United States of America,Man,5,Fully remote,140000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,4,"10,000 or more employees",Germany,Man,4,"Hybrid (some remote, some in-person)",63600
"Employed, full-time",Some college/university study without earning a degree,3,1,20 to 99 employees,United States of America,Man,NA,Fully remote,100000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,3,"1,000 to 4,999 employees",United States of America,Man,4,"Hybrid (some remote, some in-person)",280000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,10,"1,000 to 4,999 employees",United States of America,Man,10,Fully remote,NA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,3,10 to 19 employees,United States of America,Man,3,Fully remote,165000
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,7,"1,000 to 4,999 employees",United Kingdom of Great Britain and Northern Ireland,Man,7,Fully remote,121000
